English,Latin_Lemma
flood,fluctus
to raise; destroy,tollo
"unfriendly, hostile",inimicus
Tyrrhenian; Etruscan; Tuscan,Tyrrhenus
"to sail, navigate",navigo
"Ilium, Troy",Ilium
to carry a load,porto
"Penates, household gods",Penates
to strike into or upon; add,incutio
to cover,obruo
stern of a ship,puppis
"different, diverse",diversus
body,corpus
twice,bis
7; 7th,septem
outstanding,praestans
bride; nymph,nympha
beautiful,pulcher
Deiopea,Deiopea
marriage,conubium
to join,iungo
"steadfast, permanent",stabilis
one's own,proprius
to devote,dico
"punishment, reward",meritum
"to drive out; collect; achieve, complete",exigo
descendants,proles
parent,parens
your,tuus
O,o
to desire; choose,opto
"to explore, investigate",exploro
"command, order",iussum
to seize,capesso
right (indeclinable),fas
whoever,quicumque
"to advise, reconcile",concilio
"banquet, feast",epulae
to lie down,accumbo
powerful,potens
"where, when",ubi
"to say, speak",dico
hollow,cavus
"to turn round, cause to turn, turn back",converto
"sharp point, spear",cuspis
"side, flank, strength",latus
just as,velut
line of march,agmen
where; how; anyhow; anywhere,qua
gate,porta
to blew through or over; sweep over,perflo
to lean or recline upon (w. dat.); bear down on (in a military or sexual sense),incumbo
seat,sedes
"low, vile; subst. inhabitant of the underworld",inferus
together,una
Southwest wind,Eurus
the south wind,Notus
"thick, crowded, close",creber
gale,procella
African,Africus
"to follow after, pursue",insequor
"outcry, shout",clamor
harsh,stridor
rope; cord; pl.,rudens
"to tear away, snatch away",eripio
suddenly,subito
day,dies
eye,oculus
night,nox
to lie,incubo
to thunder forth,intono
"pole, heavens",polus
"to move quickly to and fro, vibrate",mico
upper air,aether
present,praesens
to stretch,intento
death,mors
immediately,extemplo
Aeneas,Aeneas
"to release, pay",solvo
cold,frigus
limb,membrum
to sigh or groan,ingemo
double,duplex
star,sidus
"hand, palm",palma
to bring back,refero
3 times,ter
4 times,quater
"happy, blessed",beatus
"before, in front of (adv. and prep. +acc.)",ante
"mouth, face",os
to touch,contingo
to encounter; perish,oppeto
brave; strong,fortis
the son of Tydeus; Diomedes,Tydides
belonging to Ilium; Ilian; Trojan,Iliacus
to sink,occumbo
plain,campus
not,non
"breath, spirit",anima
to pour out,effundo
right hand,dextera
a son or descendant of Aeacus,Aeacides
spear; missile weapon,telum
to lie,iaceo
Hector,Hector
huge,ingens
Sarpedon,Sarpedon
Simois,Simois
wave,unda
shield,scutum
helmet,galea
to produce a grating or shrill sound; to creak,strideo
Aquilo,Aquilo
