English,Latin_Lemma
female warrior; adj.,bellatrix
to assemble,concurro
Dardanian; Trojan,Dardanus
to be wondered at; wonderful,mirandus
to be amazed or dazed; to be bewildered,stupeo
looking at; look,obtutus
band (esp. of soldiers); a crowd,caterva
Eurotas River,Eurotas
bank,ripa
"yoke; ridge, chain of hills",iugum
Cynthus,Cynthus
Diana (goddess),Diana
dance in circle; dance; company of singers or dancers,chorus
to form into a ball,glomero
Oreas (island),Oreas
to rise above,superemineo
Latona,Latona
silent,tacitus
to handle completely; test,pertempto
joy,gaudium
tortoise; vaulted roof,testudo
seat,solium
relying on; elated by (+abl.) ,subnixus
"to sit down, sink down, shrink",resido
law,lex
"just, fair",iustus
"concourse, crowd",concursus
Sergestus,Sergestus
to drive away; separate,dispello
"to carry off, bear away",aveho
to become stupefied; to be astonished,obstipesco
"to strike, kill",percutio
"joy, happiness",laetitia
to join together,coniungo
"unknown, unnoticed, unperceived",incognitus
"to conceal, dissemble",dissimulo
to watch,speculor
"cover, clothe; surround",amicio
"to leave, relinquish",linquo
"to pray, plead",oro
pardon,venia
to go within; enter,introgredior
"(adv. or prep. + abl.) personally; openly, publicly",coram
abundance; troops,copia
to begin,coepi
righteousness,iustitia
to prevent,prohibeo
to plunder,populo
pride,superbia
Hesperia,Hesperia
udder,uber
lump of earth; clod; soil,glaeba
of Oenotria,Oenotrius
small,parvus
to rise up; rise,adsurgo
"stormy, rainy",nimbosus
Orion,Orion
"bold, insolent",procax
the tossing or heaving swell of the sea; the open sea,salum
without a way; trackless,invius
(pl.) a few; (sing.) small,paucus
to swim up to,anno
so,tam
"foreign, barbarous, savage",barbarus
to permit,permitto
to cause (to go),cieo
human,humanus
to despise,temno
"speakable, proper, lawful",fandus
"not to be spoken, unutterable",nefandus
other of two,alter
"to eat, feed on",vescor
"thus far, to this point, still",adhuc
to lie,occubo
"service, duty",officium
"to fight, compete",certo
"to make sorry, cause to repent",paenitet
to shake violently,quasso
it is permitted; (+ subj.) although,licet
"to draw up, raise; remove, take away",subduco
"to adapt to, prepare; fit together, join",apto
"to draw tight, bind fast; draw (from a scabbard, etc.)",stringo
but if,sin
"to reduce, consume",absumo
to resist,resto
"straight, channel",fretum
Sicania,Sicania
"at least, at any rate",saltem
to carry or convey to,adveho
Dardanides,Dardanides
to speak out; say; speak,profor
to shut apart,secludo
"hard, harsh",durus
newness,novitas
guardian,custos
to look at,tueor
to not know,nescio
"manliness, courage",virtus
fire,incendium
enfeebled,obtusus
"so, to such a point, to such an extent",adeo
Eryx,Eryx
to send away,dimitto
alike,pariter
"to sit down, settle",consido
to set up,statuo
Trojan; of or belonging to  Troy,Tros
introduces an Optative subjunctive,utinam
to drive,compello
to be present,adsum
"to throw out, expel",eicio
now for a long time (+ present tense),iamdudum
"to break out, burst out",erumpo
to address,compello
"to be away, be absent",absum
to answer,respondeo
the other,ceterus
suddenly,repente
to clean,purgo
"to stand still, oppose",resisto
"fitting, suitable; handsome",decorus
the hair of the head,caesaries
she who brings forth; mother,genetrix
youth,iuventa
to blow upon; breathe upon,adflo
ivory,ebur
"golden, yellow",flavus
of Paros (island),Parius
stone,lapis
unforeseen,improvisus
"alone, only",solus
to feel or show pity,miseror
"to drain, exhaust",exhaurio
"needy, in want",egenus
to make one a socius; to share,socio
thanks,grates
to loosen completely; set free; free one's self from obligation; pay,persolvo
worthy,dignus
everywhere,ubique
to scatter,spargo
to look round,respecto
anywhere,usquam
conscious,conscius
right,rectum
river,fluvius
to run,curro
always,semper
the left hand,laeva
Serestus,Serestus
sight,aspectus
to speak,loquor
danger,periculum
"to apply to, place to/near",applico
Anchises,Anchises
Sidon,Sidon
"to propel, drive out, expel",expello
paternal,patrius
Belus,Belus
"rich, fertile",opimus
Cyprus (island),Cyprus
"to learn, understand, inquire",cognosco
Pelasgian; Greek,Pelasgus
"to rise, be born",orior
"stem, stalk; family tree",stirps
why; therefore,quare
come on! Let's go!,age
to follow,succedo
finally,demum
to come to mind,succurro
to learn,disco
"to proclaim, announce",indico
too little,parum
20; 20th,viginti
bull,taurus
pig,sus
lamb (male),agnus
gift; duty; public show (esp. with gladiators),munus
"regal, kingly",regalis
"shining, clear, brilliant, splendid",splendidus
excess,luxus
to build upon; furnish; arrange,instruo
"banquet, feast",convivium
"skill, talent",ars
to work,laboro
the purple fluid of the murex; purple dye,ostrum
to cut in relief; carve,caelo
chain of things,series
to send ahead,praemitto
cloak,palla
"to be stiff, stiffen",rigeo
to woven round,circumtextus
"of saffron, saffron–colored",croceus
"covering, garment",velamen
the plant bear's–foot,acanthus
an equipping,ornatus
Helena (name),Helena
not allowed,inconcessus
marriage,hymenaeus
to carry out or away,effero
Leda,Leda
Ilione or Iliona,Ilione
neck,collum
necklace,monile
studded with pearls,bacatus
"jewel, gem",gemma
garland; crown,corona
to keep turning,verso
"appearance, face",facies
to change,muto
Cupid (name),Cupido
"to set fire to, burn",incendo
bone,os
to fold in; involve,implico
to fear,timeo
"uncertain, doubtful",ambiguus
double–tongued,bilinguis
to burn,uro
"terrible, cruel",atrox
to rush back; come back,recurso
therefore,ergo
"wing–bearing, winged",aliger
to speak to; address,adfor
power,potentia
pertaining to the giant Typhoeus; Typhoian,Typhoeus
to flee,confugio
bitter,acerbus
"to learn, know",nosco
Phoenissus,Phoenissus
"flattering, pleasant",blandus
to delay,moror
to fear,vereor
pertaining to Juno,Iunonius
to cease,cesso
for which reason,quocirca
"to think, rehearse",meditor
summons,accitus
"to put to sleep, lull to sleep",sopio
Cythera (island),Cythera
Idalium (town),Idalium
holy,sacratus
to put back,recondo
to run to meet; come to mind,occurro
"spacious, large, ample, generous",amplus
to deceive,fallo
"to put on, clothe",induo
"lap, bosom",gremium
liquid; liquor; wine,latex
Lyaeus,Lyaeus
an embrace,amplexus
"hidden, secret",occultus
to breathe into; inspire,inspiro
poison,venenum
"to take off, strip",exuo
to be glad,gaudeo
"sleep, rest",quies
to water; (fig.),inrigo
Idalia,Idalia
"yielding, gentle",mollis
marjoram,amaracus
flower,flos
to breathe to or upon,aspiro
to embrace,complector
curtain,aulaeum
the frame of a bedstead or couch; a couch,sponda
to recline separately; recline at table,discumbo
a house slave,famulus
clear spring water; water,lympha
basket; baskets,canistra
to shear; finish,tondeo
handcloth,mantele
shaggy hair,villus
50; 50th,quinquaginta
female house slave; maidservant,famula
"a store of food, provision, victuals",penus
to construct,struo
to cause to increase,adoleo
just as many,totidem
"equal, like (+dat.)",pār
"attendant, servant",minister
drinking–cup,poculum
"and also, and yet, and in fact",necnon
often,frequens
"bed, couch, cushion; swelling",torum
embroidered,pictus
to burn,flagro
word,verbum
to paint,pingo
plague,pestis
to dedicate,devoveo
to be unable,nequeo
to begin to burn; (fig.),ardesco
embrace,complexus
sometimes,interdum
not knowing; unaware,inscius
to sink,insido
Acidalian; pertaining to Venus,Acidalius
gradually,paulatim
"to abolish, cause to wane or waste",aboleo
to begin,incipio
to try,tento
some time before or since,iampridem
seated,reses
to become unaccustomed; p.,desuesco
large mixing bowl,crater
"to crown, surround",corono
to become,fio
"atrium, court",atrium
to hang down; hang,dependeo
lamp,lychnus
ceiling with hollows or panels; paneled or fretted ceiling,laquear
pertaining to a rope or cord,funalis
wine; wine unmixed with water,merum
a saucer-shaped dish,patera
to be accustomed,soleo
silence,silentium
guest; stranger; host,hospes
giver,dator
to frequent; celebrate,celebro
to favor,faveo
as far as (+gen. or abl.),tenus
to touch,attingo
Bitias,Bitias
to make a great noise,increpito
"not sluggish, not inactive",impiger
"to drain, drink, swallow",haurio
to wash forth or out,proluo
"a nobleman, aristocrat, chief, elder",procer
the cithara,cithara
long–haired,crinitus
Iopas,Iopas
to sound loudly; sing,persono
to gild,auro
Atlas (name),Atlans
moon,luna
one animal of a flock or herd; an animal,pecus
Arcturus,Arcturus
"rainy, bringing rain",pluvius
the Hyades (stars),Hyades
an ox as the breaker of the sod in plowing,trio
only,tantum
to hasten,propero
"to wet, moisten; dye, color",tingo
(belonging to) winter,hibernus
slow,tardus
"to stand before, stand in the way",obsto
to repeat,ingemino
"beating, clapping",plausus
to ask frequently,rogito
"dawn, aurora",aurora
Diomedes,Diomedes
no indeed,immo
ambush,insidiae
"wandering, error",error
to become still; be still,conticesco
earnestly attentive,intentus
"to restore, refresh, renew",renovo
deplorable,lamentabilis
"to cast out or up; unearth, dig up",eruo
Myrmidones,Myrmidones
Dolopes,Dolopes
soldier,miles
Ulysses,Ulixes
"moist, damp",umidus
to throw down,praecipito
although,quamquam
to dread,horreo
"mourning, grief",luctus
"to flee back, run away",refugio
to drive back,repello
"the equivalent, just like, + gen.",instar
"to build, erect, establish",aedifico
to weave into or in; work in,intexo
fir tree,abies
"return, revenue",reditus
to wander about,vagor
to choose from; choose,deligo
to cast lots; obtain,sortior
stealthily,furtim
to enclose,includo
hollow; cavern,caverna
the womb,uterus
armed,armatus
to fill up,compleo
Tenedos (island),Tenedos
standing,statio
badly,male
keel; ship,carina
to carry forward or forth; (pass.),proveho
desolate; abandoned,desertus
to think,reor
Teucria,Teucria
Doricus,Doricus
"to leave, abandon",desero
to abandon,relinquo
not veiled,innuptus
"destructive, fatal",exitialis
Minerva,Minerva
Thymoetes,Thymoetes
within,intra
to urge,hortor
suspicious,suspectus
"to throw under, put up for auction",subicio
to bore through; pierce,terebro
"hiding place, concealment",latebra
uncertain,incertus
there; then,ibi
Laocoon,Laocoon
to run down,decurro
madness,insania
citizen,civis
to think,puto
to be without,careo
firewood,lignum
to hide; conceal,occulto
to construct,fabrico
machine,machina
to look into or overlook,inspicio
wild animal,ferus
curved,curvus
the abdomen,alvus
to turn round entirely,contorqueo
to strike back; cause to resound; p.,recutio
to sound within; resound,insono
"left, on the left side",laevus
of Argolis; Argolic; Greek,Argolicus
to defile,foedo
behold!,ecce
to bind back,revincio
shepherd,pastor
"furthermore, beyond; voluntarily",ultro
"trusting, bold",fidens
each of two,uterque
from all sides,undique
to look at,viso
to play upon; w. dat.; (fig.),inludo
"verdict, accusation",crimen
to look around; cast a glance round upon; survey,circumspicio
alas! oh!,heu
finally,denique
"near, in the presence of",apud
"hostile, angry",infensus
to compress,comprimo
attack,impetus
"to grow, increase",cresco
"to confess, admit",fateor
"to deny, refuse",nego
Sinon,Sinon
"to shape, invent",fingo
"false, deceitful",mendax
bad,improbus
"to reach, arrive at",pervenio
Belides,Belides
Palamedes,Palamedes
"famous, glorious",inclutus
"renown, glory",gloria
"betrayal, abandonment (of a cause)",proditio
of the sea,pelagius
innocent,insons
"information, evidence",indicium
because,quia
"killing, murder",nex
"void, futile",cassus
"to mourn, grieve",lugeo
companion,comes
kinship,consanguinitas
"near, related",propinquus
poor; humble,pauper
uninjured,incolumis
to flourish,vigeo
union; assembly,concilium
"envy, jealousy",invidia
leading to error; deceitful,pellax
"to withdraw, allow, concede",concedo
life,vita
darkness,tenebrae
to be silent,taceo
"mad, raving",demens
ever,umquam
to go back,remeo
"avenger, punisher",ultor
falling,labes
to rest,requiesco
Calchas,Calchas
however; moreover,autem
in vain,nequiquam
unpleasant,ingratus
to roll back,revolvo
enough,satis
"to take up, consume",sumo
of Ithaca; Ithacan,Ithacus
to seek to know; ascertain; inquire,scitor
to follow,prosequor
to be much agitated; tremble,pavito
feigned,fictus
to desire,cupio
"to go away, depart",discedo
to close the way; hinder,intercludo
to weave together; construct,contexo
of maple,acernus
Eurypylus,Eurypylus
"oracle, prophecy",oraculum
the inaccessible,adytum
to carry back,reporto
"to kill, strike, cut",caedo
to sacrifice auspiciously; atone,lito
"cold, icy",gelidus
trembling; quaking; tremor,tremor
Apollo,Apollo
poet,vates
confusion,tumultus
to draw,protraho
to demand,flagito
subst.,multi
that which is to come,venturum
5 each,quini
covered,tectus
to refuse,recuso
to place opposite,oppono
"an agreement, compact",compositum
to break,rumpo
"to determine, intend",destino
to and,adsentio
"each, every",quisque
"destruction, ruin",exitium
"a holy thing, (religious) rite",sacrum
"salted, witty",salsus
"the side of the forehead, temple",tempus
ribbon,vitta
death,letum
full of mud; miry,limosus
"lake, reservoir",lacus
water–grass,ulva
to hide; lurk,delitesco
to choose out; wish exceedingly,exopto
"haply, perchance",fors
to ask again,reposco
fleeing away; pl.,effugium
"fault, blame",culpa
to atone for,pio
because,quod
that which is true; truth,verum
undefiled; chaste,intemeratus
to pity,misereor
to feel pity,miseresco
something connected with the hand; a sleeve reaching to the hand; a long sleeve; found only in the pl.,manicae
"in this way, so",ita
to forget,obliviscor
to state; set forth,edissero
to ask,rogo
founder,auctor
rite; scruple,religio
"violable, inviolable",violabilis
to testify,testor
sword,ensis
to untie,resolvo
to hate,odi
to cover,tego
promise,promissum
finder; contriver,inventor
"fated, fatal",fatalis
to approach,adgredior
to pluck,avello
"Palladium, an image of Pallas",Palladium
holy,sacer
"a portrait, image, effigy",effigies
"maidenly, of a virgin",virgineus
backwards,retro
to slip or glide beneath,sublabor
Tritonian; an epithet of Pallas,Tritonius
omen; monster,monstrum
likeness; statue,simulacrum
sweat,sudor
"to leap, shine",emico
small round shield or buckler,parma
to tear out; tear down,exscindo
to measure again,remetior
"to separate, arrange",digero
"to warn, advise",moneo
divinely forbidden (indeclinable),nefas
immense,immensus
"oak, strength",robur
to weave; to build cunningly; form,texo
to violate,violo
"earlier, preceding, before; in preference, to, rather",prius
of Pelops; Pelopeian; Argive; Greek,Pelopeus
grandchild; descendant,nepos
"false oath, lie",periurium
of Larissa (town); Larissaean,Larisaeus
"to subdue, dominate",domo
10; 10th,decem
"by much, greatly",multo
to be trembled at; dreadful,tremendus
to throw in the way,obiicio
not looking before,improvidus
customary,sollemnis
"to punish, reward, kill",macto
"calm, still",tranquillus
to become rough; bristle,horresco
snake,anguis
the mane of a horse; of a serpent,iuba
"bloody, bloodshot",sanguineus
the other; the rest,ceterus
"behind, after (+acc.) ",pone
to make into a fold or folds; to coil,sinuo
"book, roll",volumen
sounding; noise,sonitus
to suffuse,sufficio
hissing,sibilus
to lick,lambo
tongue; language,lingua
to shake,vibro
to flee apart; run away,diffugio
sight,visus
without blood,exsanguis
2,duo
creeping thing; snake,serpens
to embrace,amplector
to consume,depascor
fold,spira
"to tie, bind",ligo
scaly,squameus
to tear asunder; tear in pieces,divello
to pour over or along; wash,perfundo
putrid,sanies
to be shuddered at; dreadful,horrendus
lowing; bellowing,mugitus
wounded; afflicted; drunk,saucius
axe,securis
slipping; gliding,lapsus
the place for sacrificial cleansings; a shrine,delubrum
dragon or fabulous kind of serpent,draco
"to flee, escape",effugio
of Lake Triton; (subst.) Pallas or Minerva,Tritonis
round shield,clipeus
to cause to tremble or quake; to shake,tremefacio
to embosom; to penetrate,insinuo
"fear, trembling",pavor
to weigh out; (fig.),expendo
"to earn, deserve; serve as a soldier",mereo
criminal,sceleratus
to turn or hurl toward,intorqueo
to shout,conclamo
made of tow or flax,stuppeus
"to stretch, strain",intendo
to climb,scando
girl,puella
"rope, line",funis
glide; fall (onto),illabor
to stand after; halt,subsisto
"unmindful, forgetful",immemor
to set up,sisto
Cassandra,Cassandra
"order, command",iussus
farther; farthest,ulterior
"sacred, festive",festus
to cover,velo
leaf,frons
to roll on or in; cast upon,involvo
sleep; sound,sopor
body of troops in compact array; battalion,phalanx
"to defend, ward off",defendo
uneven,iniquus
"of pine, pine–growing",pineus
to spread out,laxo
to reveal,patefacio
to take,promo
Thessandrus,Thessandrus
Sthenelus,Sthenelus
Acamas,Acamas
Thoas,Thoas
Pelides,Pelides
Neoptolemus,Neoptolemus
Machaon,Machaon
Menelaus,Menelaus
constructor,fabricator
Epeius,Epeos
to go in,invado
to bury,sepelio
"on watch, sleepless",vigil
to creep,serpo
weeping,fletus
team of two horses; car or chariot drawn by two horses; car,bigae
"to swell, puff up",tumeo
woe! alas!,ei
how much,quantum
to go back,redeo
that which has been taken off; a garment,exuviae
to be rough,squaleo
beard,barba
to grow together; grow thick; stiffen,concresco
to cry,fleo
"to bring forth, explain",expromo
Dardania,Dardania
"to wait for, expect",exspecto
unworthy (of),indignus
"serene, calm",serenus
nothing,nihil
top,culmen
"to entrust, recommend, approve",commendo
to wander through or over,pererro
innermost,penetralis
"separated, hidden, secret",secretus
to cover up or over,obtego
to withdraw,recedo
to become clear to the ear or eye; grow loud,claresco
to rush into; advance furiously,ingruo
roughening or bristling; (fig.),horror
climbing or ascending,ascensus
field of grain; standing corn,seges
to fall in/on,incido
pertaining to the mountains,montanus
"a rushing stream, torrent",torrens
things sown or planted; grain,sata
ox,bos
headlong,praeceps
"clear, manifest",manifestus
to begin to be open; to be open to view,patesco
Deiphobus,Deiphobus
Vulcan,Vulcanus
Ucalegon,Ucalegon
pertaining to Sigeum,Sigeus
to shine back or again,reluceo
"to rise up, proceed",exorior
clashing sound; braying,clangor
trumpet,tuba
"mad, insane",amens
method,ratio
to die,morior
Panthus (Panthous),Panthus
Othryades,Othryades
"to lay hold of, grasp, snatch",prehendo
that can not be averted by struggling,ineluctabilis
"wild, fierce",ferus
"steep, difficult",arduus
armed men,armati
to leap upon (+dat.),insulto
with double doors,bipatens
"how many , as many as (indeclinable)",quot
to blockade,obsideo
narrow,angustus
sharp point or edge,mucro
battle,proelium
Erinys,Erinys
murmuring,fremitus
Ripheus,Ripheus
Epytus,Epytus
Hypanis,Hypanis
Dymas,Dymas
to gather,agglomero
"youthful, young",iuvenis
Coroebus,Coroebus
Mygdonides,Mygdonides
insane,insanus
son–in–law,gener
one promised as a bride; the betrothed,sponsa
"precept, rule",praeceptum
crowded together,confertus
"desire, craving",cupido
wolf,lupus
"as, just as",ceu
plunderer,raptor
"stomach, belly",venter
a young animal,catulus
mouth,faux
dry,siccus
to go,vado
to fly around or surround in flying; hover round,circumvolo
destruction,clades
to untangle; explain,explico
"unskilled, lazy",iners
here and there,passim
"reverent, superstitious",religiosus
the diaphragm or midriff; the vital parts; the heart,praecordia
Androgeos,Androgeos
allied,socius
to hurry,festino
(too) late,serus
sloth,segnities
"an answer, response",responsum
to glide,delabor
to restrain,reprimo
thorn,sentis
to press/lean upon,nitor
agitated,trepidus
dark blue,caerulus
"otherwise, differently, not so, the contrary",secus
to rush in,inruo
"thick, dense",densus
fear,formido
"going up, good fortune",successus
"to be ecstatic, exult",exsulto
"right, on the right side",dexter
"medal, decoration",insigne
hairy,comans
to fit one thing to another,accommodo
"to equip, arm",armo
to mingle with; usually w. dat.,immisceo
to tie together; join,consero
Orcus,Orcus
ugly,turpis
back,rursus
unwilling,invitus
"to trust, believe",fido
of Priam,Priameius
tender,tener
"appearance, image; specter",species
to madden,furio
"to throw, lay hands on",inicio
to perish,pereo
"to overtake, attain",consequor
to run into or against; rush upon,incurro
our friends,nostri
army,exercitus
to strike together violently,confligo
to make a shrill noise,strido
"foamy, frothy",spumeus
Nereus,Nereus
foundation,fundus
to drive,agito
to lie,mentior
sound,sonus
disagreeing,discors
to mark,signo
immediately,ilicet
Peneleus,Peneleus
powerful in arms,armipotens
"to fall forwards, sink down, fall prostrate",procumbo
observant,servans
that which is even; right,aequum
to fasten together or firmly; transfix,configo
bandage,infula
ashes,cinis
"outward, foreign",exter
my kindred,mei
"to avoid, shun",vito
"turn, change, succession",vicis
Iphitus,Iphitus
Pelias (name),Pelias
"eternity; lifetime, age",aevum
at once,protinus
nowhere,nusquam
"untamed, wild",indomitus
wall,paries
ladder; scaling ladder,scalae
doorjamb; door,postis
the left hand,sinistra
"to cover, conceal; protect",protego
to grasp,prenso
tower,turris
the end,ultima
to roll down; throw,devolvo
to build; perform,instauro
"unobstructed, free",pervius
use,usus
Andromache; wife of Hector,Andromache
unattended,incomitatus
father–in–law,socer
grandfather,avus
Astyanax,Astyanax
"to go out, evade",evado
"invalid, void",irritus
of Achaia; Achaean; Greek,Achaicus
to give way,labo
joining; joint,iunctura
planking; floor,tabulatum
entrance,vestibulum
Pyrrhus,Pyrrhus
snake,coluber
"grass, plant, herb",gramen
"cool, cold",frigidus
the winter solstice; winter,bruma
"shining, bring",nitidus
"smooth, slippery",lubricus
to roll together; roll up,convolvo
three–furrowed; three–forked,trisulcus
Periphas,Periphas
one who drives; a charioteer,agitator
an armor bearer,armiger
Automedon,Automedon
of Scyros (island),Scyrius
an ax (with two blades),bipennis
to break,perrumpo
to pluck,vello
furnished with copper or bronze,aeratus
"firm, strong",firmus
window,fenestra
lamentation by beating the breast; lamentation,plangor
"building, shrine",aedes
feminine,femineus
to howl,ululo
"scared, frightened",pavidus
to support,suffero
"to be strong, be worth",valeo
ram,aries
door,ianua
to move off or away; throw off,emoveo
an approach; entryway,aditus
to slaughter,trucido
to send in,immitto
"river, torrent",amnis
to conquer completely; overcome,evinco
"stable; inn, brothel",stabulum
Hecuba,Hecuba
daughter–in–law,nurus
to consecrate,sacro
marriage bed; bedchamber,thalamus
"foreign, barbaric",barbaricus
to fail; revolt from,deficio
"old, aged",senex
"useless, unserviceable",inutilis
axle; sky,axis
"near, close",iuxta
laurel,laurus
the upper part of an altar; a high altar,altaria
"pigeon, dove",columba
"thick, crowded",condensus
youthful,iuvenalis
"defender, protector",defensor
that,iste
"to want, need",egeo
to speak forth; speak,effor
aged,longaevus
Polites,Polites
"covered walk, colonnade, portico",porticus
empty,vacuus
"hostile, aggressive",infestus
to fall down,concido
"to hold back, keep away from",abstineo
to exclaim,exclamo
daring deed; outrage,ausum
to care for,curo
to owe; ought,debeo
to plant,sero
"to grow red, blush",erubesco
"tomb, grave",sepulcrum
to send back,remitto
"unwarlike, peaceful",imbellis
"blow, stroke",ictus
"to throw together, unite collect",conicio
"harsh–sounding, noisy",raucus
the boss of a shield,umbo
messenger; news,nuntius
degenerate,degener
"to tell, report, recount",narro
to fall down; slip,lapso
the handle; hilt,capulus
departure,exitus
to slip forward,prolabor
one who reigns; sovereign,regnator
the stem,truncus
to stand around,circumsto
of equal age,aequaevus
to breathe out,exhalo
Creusa (name),Creusa
to look back,respicio
jump,saltus
daughter of Tyndarus; Helen,Tyndaris
to fear beforehand,praemetuo
"common, general",communis
"unseen, secret",invisus
to begin to burn; (fig.),exardesco
to avenge,ulciscor
certainly,scilicet
Sparta,Sparta
to bring forth,pario
triumph,triumphus
joining together; marriage,coniugium
to go down; set; fall,occido
to sweat,sudo
although,etsi
memorable,memorabilis
victory,victoria
to extinguish,exstinguo
to praise,laudo
avenging,ultrix
to satisfy sate,satio
pure,purus
to confess,confiteor
an inhabitant of heaven; a god,caelicola
"to contain, restrain",contineo
"to stir up, arouse, put into motion",excito
whither? to where?,quonam
Lacaena,Lacaena
to blame censure,culpo
unkindness; inclemency,inclementia
to draw or lead towards; draw over,obduco
to make blunt; to make dull; to impair,hebeto
to be dark,caligo
to rise in waves,undo
smoke,fumus
to shake,quatio
Scaea,Scaea
to sit or be seated on; w. dat.,insideo
to shine forth or brightly; be effulgent,effulgo
Gorgo,Gorgo
to stir up,suscito
"close, dense, thick",spissus
"deepest, last",imus
pertaining to Neptune; Neptunian,Neptunius
mountain–ash,ornus
to cut into,accido
with striving or contention,certatim
continuously,usque
"shake, beat, strike; terrify; disturb, distract",concutio
to nod; sway to and fro,nuto
for the last time,supremum
to groan deeply; send forth a sigh or groan; (fig.),congemo
to descend,descendo
to deny,abnego
to bring forward,produco
"exile, banishment",exilium
"untouched, fresh, complete",integer
"dense, firm, solid",solidus
"to find, discover",invenio
loss (of stature/prestige); sacrifice,iactura
to linger,demoror
to continue standing; remain fixed,persto
to lop off; cut down; cut to pieces,obtrunco
never,numquam
today,hodie
unavenged,inultus
to put or thrust into; pass through,inserto
"outside, beyond",extra
to protect,tutor
to raise the voice; cry out,vociferor
to fill up,repleo
having come up suddenly; unexpected,subitus
the point of anything; peak,apex
touching; touch,tactus
"harmless, innocent",innoxius
to be agitated,trepido
to put out,restinguo
prayer,prex
"to earn, deserve",mereor
to strengthen,firmo
the left part,laevum
star,stella
of Mount Ida,Idaeus
border; path crossing the border,limes
sulphur,sulphur
to smoke,fumo
"already, now",iamiam
to yield,cedo
"to burden, load",gravo
"indef., to whatever place, whithersoever, wherever",quocumque
"trace, track",vestigium
to turn towards,adverto
mound,tumulus
old,vetustus
the cypress; a branch of cypress,cupressus
to walk or go apart,digredior
to handle or touch,attrecto
to wash away,abluo
to spread over; cover,insterno
"skin, hide",pellis
lion,leo
"pace, footstep",passus
"shady, dark",opacus
not long ago,dudum
to bring near; render favorable,propinquo
"someone or other ; I know not who/what; to some degree, a little bit",nescioquis
"mingled, confused",confusus
pathless,avius
"tired, weary",lassus
to bend back,reflecto
to be lacking,desum
gleaming,fulgens
to return,revertor
to throw towards,obiecto
beginning,principium
"to watch, observe",observo
"voracious, greedy",edax
to be completely above; mount upward,exsupero
to advance,procedo
a place of refuge; an asylum; a temple,asylum
Phoenix,Phoenix
"to preserve, guard, watch",adservo
captured,captivus
to gather together,congero
again,iterum
to remove,demo
"to gratify, indulge in",indulgeo
to come out,evenio
to plough,aro
of the west; western,Hesperius
of Lydia; Lydian; Etruscan,Lydius
"gentle, kind, mild",lenis
Thybris,Thybris
to serve,servio
Dardanis,Dardanis
divine,divus
to hold from or back; hold,detineo
thin,tenuis
"to try, attempt",conor
arm,brachium
to unite; seize,comprehendo
"to use up, consume",consumo
"to flow to, assemble",adfluo
"to admire, wonder",admiror
"to launch, lead away",deduco
Lucifer; the morning–star,Lucifer
Mount Ida,Ida
undeserving,immeritus
Antandros (–us),Antandros
to collect; shrink because of pain,contraho
"an exile, banished person",exsul
Thracian,Thrax
Lycurgus (name),Lycurgus
"to step in, enter",ingredior
pertaining to Dione,Dionaeus
one who divines by watching birds; a diviner; (fig.),auspex
of cornel–wood,corneus
"brambles, a thicket",virgultum
myrtle,myrtus
green,viridis
branch,ramus
to be leafy; to bear or put forth leaves; frondens,frondeo
root,radix
to be in a liquid state; run,liquor
drop,gutta
corrupt matter; putrid blood; gore,tabum
to spot; stain; defile,maculo
to come together,coeo
"flexible, sticky, slow",lentus
flexible twig; osier,vimen
"bark, shell, cork",cortex
to venerate,veneror
"rural, rustic",agrestis
Gradivus,Gradivus
pertaining to the Getae,Geticus
to sit before; preside over,praesideo
"with the proper rites; duly, correctly",rite
"to aid, favor",secundo
"pressure, exertion",nisus
to strive,obluctor
"to speak out, express",eloquor
"piteous, disastrous",lacrimabilis
to tear,lacero
to commit a crime,scelero
"outside, foreign, strange",externus
"blood, bloodshed",cruor
log or post,stipes
"to drip, flow",mano
Polydorus,Polydorus
made of iron,ferreus
thing hurled; spear,iaculum
to grow in; grow up,incresco
"two–headed, unsettled, dangerous",anceps
to entrust,mando
to nourish,alo
Thracian; northern,Threicius
to distrust,diffido
"siege, blockade",obsidio
pertaining to Agamemnon,Agamemnonius
female conqueror; in triumph,victrix
"to break off, sever",abrumpo
to soil,polluo
to bear to; heap upon,aggero
Manes,Manes
"warm, tepid",tepidus
small,cymbium
milk,lac
to make a rattling noise; creak,crepito
Nereis,Nereis
Aegean; pertaining to the Aegean,Aegaeus
bow–bearing,Arcitenens
Myconos,Myconos
Gyaros,Gyaros
"to despise, scorn",contemno
Anius,Anius
to encircle (with a garland),redimio
of Thymbra (town),Thymbraeus
to low,mugio
caldron; kettle; (fig.),cortina
to place under,sumitto
to seek out,exquiro
"memorial, monument",monumentum
Crete,Creta
cradle; birthplace,cunabula
to inhabit,habito
"fertile, fruitful",uber
to remember,recordor
of Rhoeteum (promontory),Rhoeteus
not yet,nondum
of Pergamum (kingdom),Pergamenus
an inhabitant; protectress,cultrix
a mountain in Phrygia,Cybelus
Corybantian,Corybantius
mistress,domina
of Gnosus,Gnosius
to stand apart; be distant,disto
"of Crete, Cretan",Cretaeus
"deserved, due",meritus
white,albus
paternal,paternus
Idomeneus,Idomeneus
Ortygia,Ortygia
"to revel, rage",bacchor
Naxos,Naxos
Donusa (island),Donusa
Olearos,Olearos
Paros,Paros
Cyclades,Cyclades
to sow or plant,consero
of ships,nauticus
