SIMPLE_LEMMA,PART_OF_SPEECH,Total_Count_in_Text
quis,Pronoun,350
metuo,Verb,11
morior,Verb,47
fax,Noun,21
in,Preposition,769
castra,Noun,50
fero,Verb,273
impleo,Verb,24
que,Conjunction,3212
forus,Noun,2
flamma,Noun,73
natus,Noun,84
que,Conjunction,3212
pater,Noun,172
que,Conjunction,3212
cum,Preposition,139
genus,Noun,70
exstinguo,Verb,10
ego,Pronoun,389
super,Preposition,74
ipse,Pronoun,289
do,Verb,317
sol,Noun,37
qui,Pronoun,766
terra,Noun,166
flamma,Noun,73
opus,Noun,28
omnis,Adjective,330
lustro,Verb,29
tu,Pronoun,419
que,Conjunction,3212
hic,Pronoun,694
interpres,Noun,6
cura,Noun,70
et,Conjunction,2083
conscius,Adjective,13
Iuno,Noun,56
nocturnus,Adjective,7
que,Conjunction,3212
Hecate,Noun,5
trivium,Noun,1
ululo,Verb,6
per,Preposition,351
urbs,Noun,196
et,Conjunction,2083
Dira,Noun,5
ultrix,Noun,6
et,Conjunction,2083
deus,Noun,181
morior,Verb,47
Elissa,Noun,3
accipio,Verb,62
hic,Pronoun,694
mereo,Verb,13
que,Conjunction,3212
malum,Noun,25
adverto,Verb,17
numen,Noun,62
et,Conjunction,2083
noster,Adjective,94
audio,Verb,55
prex,Noun,21
si,Conjunction,206
tango,Verb,15
portus,Noun,37
infandus,Adjective,17
caput,Noun,84
ac,Conjunction,112
terra,Noun,166
anno,Verb,3
necesse,Adjective,4
sum,Verb,531
et,Conjunction,2083
sic,Adverb,162
fatum,Noun,125
Iuppiter,Noun,86
posco,Verb,45
hic,Pronoun,694
terminus,Noun,1
haereo,Verb,39
at,Conjunction,146
bellum,Noun,179
audax,Adjective,13
populus,Noun,43
vexo,Verb,1
et,Adverb,67
arma,Noun,279
finis,Noun,43
extorris,Adjective,1
complexus,Noun,5
avello,Verb,12
Iulus,Noun,35
auxilium,Noun,30
imploro,Verb,6
video,Verb,214
que,Conjunction,3212
indignus,Adjective,9
sui,Pronoun,303
funus,Noun,33
nec,Conjunction,331
cum,Conjunction,164
sui,Pronoun,303
sub,Preposition,160
lex,Noun,15
pax,Noun,37
iniquus,Adjective,14
trado,Verb,3
regnum,Noun,86
aut,Conjunction,216
optatus,Adjective,9
lux,Noun,47
fruor,Verb,4
sed,Conjunction,146
cado,Verb,36
ante,Preposition,102
dies,Noun,61
medius,Adjective,164
que,Conjunction,3212
inhumatus,Adjective,6
arena,Noun,25
hic,Pronoun,694
precor,Verb,36
hic,Pronoun,694
vox,Noun,113
exter,Adjective,32
cum,Preposition,139
sanguis,Noun,96
fundo,Verb,49
tum,Adverb,248
vos,Pronoun,62
o,Interjection,108
Tyrius,Adjective,25
stirps,Noun,19
et,Conjunction,2083
genus,Noun,70
omnis,Adjective,330
futurus,Adjective,12
exerceo,Verb,26
odium,Noun,13
cinis,Noun,18
que,Conjunction,3212
hic,Pronoun,694
mitto,Verb,70
noster,Adjective,94
munus,Noun,37
nullus,Adjective,57
amor,Noun,78
populus,Noun,43
nec,Conjunction,331
foedus,Noun,42
sum,Verb,531
exorior,Verb,8
aliquis,Pronoun,14
noster,Adjective,94
e,Preposition,131
os,Noun,32
ultor,Noun,6
qui,Pronoun,766
fax,Noun,21
Dardanus,Adjective,38
ferrum,Noun,109
que,Conjunction,3212
sequor,Verb,122
colonus,Noun,6
nunc,Adverb,216
olim,Adverb,20
quicumque,Pronoun,27
do,Verb,317
sui,Pronoun,303
tempus,Noun,39
vis,Noun,110
litus,Noun,127
litus,Noun,127
contrarius,Adjective,5
fluctus,Noun,44
unda,Noun,109
imprecor,Verb,1
arma,Noun,279
arma,Noun,279
pugno,Verb,8
ipse,Pronoun,289
que,Conjunction,3212
nepos,Noun,18
que,Conjunction,3212
hic,Pronoun,694
aio,Verb,46
et,Conjunction,2083
pars,Noun,88
animus,Noun,162
verso,Verb,20
in,Preposition,769
omnis,Adjective,330
invisus,Adjective,14
quaero,Verb,53
quam,Adverb,1
abrumpo,Verb,11
lux,Noun,47
tum,Adverb,248
brevis,Adjective,14
Barce,Noun,1
nutrix,Noun,5
adfor,Verb,28
Sychaeus,Noun,7
namque,Conjunction,42
suus,Adjective,69
patria,Noun,42
antiquus,Adjective,42
cinis,Noun,18
ater,Adjective,71
habeo,Verb,69
Anna,Noun,7
carus,Adjective,24
ego,Pronoun,389
nutrix,Noun,5
huc,Adverb,53
sisto,Verb,15
soror,Noun,39
dico,Verb,149
corpus,Noun,126
propero,Verb,9
fluvialis,Adjective,2
spargo,Verb,35
lympha,Noun,6
et,Conjunction,2083
pecus,Noun,16
sui,Pronoun,303
cum,Preposition,139
et,Conjunction,2083
monstro,Verb,18
piaculum,Noun,3
duco,Verb,77
sic,Adverb,162
venio,Verb,122
tu,Pronoun,419
que,Conjunction,3212
ipse,Pronoun,289
pius,Adjective,37
tego,Verb,39
tempus,Noun,31
vitta,Noun,18
sacrum,Noun,27
Iuppiter,Noun,86
Stygius,Adjective,18
qui,Pronoun,766
rite,Adverb,15
incipio,Verb,24
paro,Verb,58
perficio,Verb,12
sum,Verb,531
animus,Noun,162
finis,Noun,43
que,Conjunction,3212
impono,Verb,25
cura,Noun,70
Dardanus,Adjective,38
que,Conjunction,3212
rogus,Noun,6
caput,Noun,84
permitto,Verb,6
flamma,Noun,73
sic,Adverb,162
aio,Verb,46
ille,Pronoun,379
gradus,Noun,8
studium,Noun,11
celero,Verb,8
anilis,Adjective,3
at,Conjunction,146
trepidus,Adjective,25
et,Conjunction,2083
coeptum,Noun,5
immanis,Adjective,47
efferus,Adjective,6
Dido,Noun,34
sanguineus,Adjective,10
volvo,Verb,53
acies,Noun,67
macula,Noun,3
que,Conjunction,3212
tremo,Verb,22
interfundo,Verb,2
gena,Noun,7
et,Conjunction,2083
pallidus,Adjective,6
mors,Noun,71
futurus,Adjective,12
interior,Adjective,9
domus,Noun,85
irrumpo,Verb,5
limen,Noun,68
et,Conjunction,2083
altus,Adjective,175
conscendo,Verb,6
furibundus,Adjective,2
rogus,Noun,6
ensis,Noun,62
que,Conjunction,3212
recludo,Verb,10
Dardanus,Adjective,38
non,Adverb,259
hic,Pronoun,694
quaero,Verb,53
munus,Noun,37
in,Preposition,769
usus,Noun,4
hic,Adverb,133
postquam,Conjunction,37
Iliacus,Adjective,24
vestis,Noun,32
notus,Adjective,30
que,Conjunction,3212
cubile,Noun,8
conspicio,Verb,15
paulum,Adverb,2
lacrima,Noun,44
et,Conjunction,2083
mens,Noun,67
moror,Verb,31
incumbo,Verb,20
que,Conjunction,3212
torum,Noun,17
dico,Verb,149
que,Conjunction,3212
novus,Adjective,49
verbum,Noun,23
dulcis,Adjective,23
exuviae,Noun,12
dum,Conjunction,81
fatum,Noun,125
deus,Noun,181
que,Conjunction,3212
sino,Verb,31
accipio,Verb,62
hic,Pronoun,694
anima,Noun,50
ego,Pronoun,389
que,Conjunction,3212
hic,Pronoun,694
exsolvo,Verb,2
cura,Noun,70
vivo,Verb,18
et,Conjunction,2083
qui,Pronoun,766
do,Verb,317
cursus,Noun,73
fortuna,Noun,66
perago,Verb,8
et,Conjunction,2083
nunc,Adverb,216
magnus,Adjective,282
ego,Pronoun,389
sub,Preposition,160
terra,Noun,166
eo,Verb,138
imago,Noun,30
urbs,Noun,196
praeclarus,Adjective,4
statuo,Verb,13
meus,Adjective,80
moenia,Noun,92
video,Verb,214
ulciscor,Verb,4
vir,Noun,170
poena,Noun,38
inimicus,Adjective,26
a,Preposition,197
frater,Noun,40
recipio,Verb,19
felix,Adjective,21
heu,Interjection,34
nimium,Adverb,9
felix,Adjective,21
si,Conjunction,206
litus,Noun,127
tantum,Adverb,36
numquam,Adverb,12
Dardanus,Adjective,38
tango,Verb,15
noster,Adjective,94
carina,Noun,22
dico,Verb,149
et,Conjunction,2083
os,Noun,142
imprimo,Verb,5
torum,Noun,17
morior,Verb,47
inultus,Adjective,4
sed,Conjunction,146
morior,Verb,47
aio,Verb,46
sic,Adverb,162
sic,Adverb,162
iuvo,Verb,31
eo,Verb,138
sub,Preposition,160
umbra,Noun,69
haurio,Verb,13
hic,Pronoun,694
oculus,Noun,88
ignis,Noun,91
crudelis,Adjective,30
a,Preposition,197
altum,Noun,28
Dardanus,Noun,8
et,Conjunction,2083
noster,Adjective,94
sui,Pronoun,303
cum,Preposition,139
fero,Verb,273
omen,Noun,21
mors,Noun,71
dico,Verb,149
atque,Conjunction,293
ille,Pronoun,379
medius,Adjective,164
inter,Preposition,116
talis,Pronoun,148
ferrum,Noun,109
conlabor,Verb,7
aspicio,Verb,34
comes,Noun,53
ensis,Noun,62
que,Conjunction,3212
cruor,Noun,20
spumo,Verb,25
spargo,Verb,35
que,Conjunction,3212
manus,Noun,206
eo,Verb,138
clamor,Noun,66
ad,Preposition,322
altus,Adjective,175
atrium,Noun,6
concutio,Verb,18
bacchor,Verb,5
fama,Noun,62
per,Preposition,351
urbs,Noun,196
lamenta,Noun,1
gemitus,Noun,35
que,Conjunction,3212
et,Conjunction,2083
femineus,Adjective,11
ululatus,Noun,4
tectum,Noun,83
fremo,Verb,35
resono,Verb,5
magnus,Adjective,282
plangor,Noun,4
aether,Noun,52
non,Adverb,259
aliter,Adverb,14
quam,Adverb,28
si,Conjunction,206
immitto,Verb,23
ruo,Verb,70
hostis,Noun,85
omnis,Adjective,330
Carthago,Noun,10
aut,Conjunction,216
antiquus,Adjective,42
Tyros,Noun,4
flamma,Noun,73
que,Conjunction,3212
furo,Verb,51
culmen,Noun,15
per,Preposition,351
que,Conjunction,3212
homo,Noun,34
volvo,Verb,53
per,Preposition,351
que,Conjunction,3212
deus,Noun,181
audio,Verb,55
exanimus,Adjective,14
trepidus,Adjective,25
que,Conjunction,3212
exterreo,Verb,15
cursus,Noun,73
unguis,Noun,7
os,Noun,142
soror,Noun,39
foedo,Verb,11
et,Conjunction,2083
pectus,Noun,120
pugnus,Noun,3
per,Preposition,351
medius,Adjective,164
ruo,Verb,70
ac,Conjunction,112
morior,Verb,47
nomen,Noun,90
clamo,Verb,5
hic,Pronoun,694
ille,Pronoun,379
germanus,Adjective,13
sum,Verb,531
ego,Pronoun,389
fraus,Noun,10
peto,Verb,128
hic,Pronoun,694
rogus,Noun,6
iste,Pronoun,31
ego,Pronoun,389
hic,Pronoun,694
ignis,Noun,91
ara,Noun,71
que,Conjunction,3212
paro,Verb,58
quis,Pronoun,350
primum,Number,53
desero,Verb,31
queror,Verb,3
comes,Noun,53
ne,Adverb,63
soror,Noun,39
sperno,Verb,3
morior,Verb,47
idem,Pronoun,55
ego,Pronoun,389
ad,Preposition,322
fatum,Noun,125
voco,Verb,110
idem,Pronoun,55
ambo,Number,25
ferrum,Noun,109
dolor,Noun,40
atque,Conjunction,293
idem,Pronoun,55
hora,Noun,4
fero,Verb,273
hic,Pronoun,694
etiam,Adverb,41
struo,Verb,13
manus,Noun,206
patrius,Adjective,54
que,Conjunction,3212
voco,Verb,110
vox,Noun,113
deus,Noun,181
sic,Adverb,162
tu,Pronoun,419
ut,Conjunction,160
pono,Verb,56
crudelis,Adjective,30
absum,Verb,19
exstinguo,Verb,10
tu,Pronoun,419
ego,Pronoun,389
que,Conjunction,3212
soror,Noun,39
populus,Noun,43
que,Conjunction,3212
pater,Noun,172
que,Conjunction,3212
Sidonius,Adjective,10
urbs,Noun,196
que,Conjunction,3212
tuus,Adjective,115
do,Verb,317
vulnus,Noun,70
lympha,Noun,6
abluo,Verb,3
et,Conjunction,2083
exter,Adjective,32
si,Conjunction,206
quis,Pronoun,85
super,Preposition,74
halitus,Noun,2
erro,Verb,32
os,Noun,142
lego,Verb,26
sic,Adverb,162
for,Verb,93
gradus,Noun,8
evado,Verb,16
altus,Adjective,175
semianimis,Adjective,5
que,Conjunction,3212
sinus,Noun,19
germanus,Adjective,13
amplector,Verb,12
foveo,Verb,12
cum,Preposition,139
gemitus,Noun,35
atque,Conjunction,293
ater,Adjective,71
sicco,Verb,2
vestis,Noun,32
cruor,Noun,20
ille,Pronoun,379
gravis,Adjective,31
oculus,Noun,88
conor,Verb,10
attollo,Verb,29
rursus,Adverb,29
deficio,Verb,10
infigo,Verb,9
strido,Verb,4
sub,Preposition,160
pectus,Noun,120
vulnus,Noun,70
ter,Number,38
sui,Pronoun,303
attollo,Verb,29
cubitum,Noun,1
que,Conjunction,3212
adnitor,Verb,8
levo,Verb,14
ter,Number,38
revolvo,Verb,11
torum,Noun,17
sum,Verb,531
oculus,Noun,88
que,Conjunction,3212
erro,Verb,32
altus,Adjective,175
quaero,Verb,53
caelum,Noun,142
lux,Noun,47
ingemo,Verb,7
que,Conjunction,3212
reperio,Verb,10
tum,Adverb,248
Iuno,Noun,56
omnipotens,Adjective,22
longus,Adjective,125
miseror,Verb,16
dolor,Noun,40
difficilis,Adjective,2
que,Conjunction,3212
obitus,Noun,2
Iris,Noun,8
demitto,Verb,23
Olympus,Noun,25
qui,Pronoun,766
luctor,Verb,8
anima,Noun,50
necto,Verb,7
que,Conjunction,3212
resolvo,Verb,9
artus,Noun,23
nam,Conjunction,41
quia,Conjunction,6
nec,Conjunction,331
fatum,Noun,125
meritus,Adjective,5
nec,Conjunction,331
mors,Noun,71
pereo,Verb,11
sed,Conjunction,146
miser,Adjective,72
ante,Preposition,102
dies,Noun,61
subitus,Adjective,27
que,Conjunction,3212
accendo,Verb,25
furor,Noun,24
nondum,Adverb,5
ille,Pronoun,379
flavus,Adjective,7
Proserpina,Noun,4
vertex,Noun,40
crinis,Noun,28
aufero,Verb,20
Stygius,Adjective,18
que,Conjunction,3212
caput,Noun,84
damno,Verb,3
Orcus,Noun,7
ergo,Conjunction,40
Iris,Noun,8
croceus,Adjective,7
per,Preposition,351
caelum,Noun,142
roscidus,Adjective,2
penna,Noun,12
mille,Number,30
traho,Verb,41
varius,Adjective,41
adversus,Adjective,50
sol,Noun,37
color,Noun,10
devolo,Verb,1
et,Conjunction,2083
supra,Preposition,13
caput,Noun,84
asto,Verb,19
hic,Pronoun,694
ego,Pronoun,389
Dis,Noun,9
sacer,Adjective,47
iubeo,Verb,70
fero,Verb,273
tu,Pronoun,419
que,Conjunction,3212
iste,Pronoun,31
corpus,Noun,126
solvo,Verb,38
sic,Adverb,162
aio,Verb,46
et,Conjunction,2083
dextera,Noun,111
crinis,Noun,28
seco,Verb,29
omnis,Adjective,330
et,Conjunction,2083
una,Adverb,24
dilabor,Verb,1
calor,Noun,4
atque,Conjunction,293
in,Preposition,769
ventus,Noun,87
vita,Noun,49
recedo,Verb,15
interea,Adverb,55
medius,Adjective,164
Aeneas,Noun,238
iam,Adverb,250
classis,Noun,62
teneo,Verb,133
certus,Adjective,29
iter,Noun,35
fluctus,Noun,44
que,Conjunction,3212
ater,Adjective,71
Aquilo,Noun,6
seco,Verb,29
moenia,Noun,92
respicio,Verb,19
qui,Pronoun,766
iam,Adverb,250
infelix,Adjective,48
Elissa,Noun,3
conluceo,Verb,5
flamma,Noun,73
quis,Pronoun,350
tantus,Adjective,118
accendo,Verb,25
ignis,Noun,91
causa,Noun,33
lateo,Verb,17
durus,Adjective,59
magnus,Adjective,282
sed,Conjunction,146
amor,Noun,78
dolor,Noun,40
polluo,Verb,4
notus,Adjective,30
que,Conjunction,3212
furo,Verb,51
quis,Pronoun,350
femina,Noun,9
possum,Verb,95
tristis,Adjective,44
per,Preposition,351
augurium,Noun,11
Teucrus,Adjective,130
pectus,Noun,120
duco,Verb,77
ut,Conjunction,160
pelagus,Noun,44
teneo,Verb,133
ratis,Noun,22
nec,Conjunction,331
iam,Adverb,250
amplus,Adjective,13
ullus,Adjective,49
occurro,Verb,17
tellus,Noun,51
mare,Noun,61
undique,Adverb,35
et,Conjunction,2083
undique,Adverb,35
caelum,Noun,142
ille,Pronoun,379
caerulus,Adjective,19
supra,Preposition,13
caput,Noun,84
asto,Verb,19
imber,Noun,13
nox,Noun,97
hiems,Noun,13
que,Conjunction,3212
fero,Verb,273
et,Conjunction,2083
inhorresco,Verb,3
unda,Noun,109
tenebrae,Noun,17
ipse,Pronoun,289
gubernator,Noun,3
puppis,Noun,43
Palinurus,Noun,13
a,Preposition,197
altus,Adjective,175
heu,Interjection,34
quianam,Adverb,2
tantus,Adjective,118
cingo,Verb,35
aether,Noun,52
nimbus,Noun,24
quis,Pronoun,350
ve,Conjunction,79
pater,Noun,172
Neptunus,Noun,15
paro,Verb,58
sic,Adverb,162
deinde,Adverb,31
loquor,Verb,27
colligo,Verb,16
arma,Noun,279
iubeo,Verb,70
validus,Adjective,16
que,Conjunction,3212
incumbo,Verb,20
remus,Noun,35
obliquo,Verb,1
que,Conjunction,3212
sinus,Noun,19
in,Preposition,769
ventus,Noun,87
ac,Conjunction,112
talis,Pronoun,148
for,Verb,93
magnanimus,Adjective,12
Aeneas,Noun,238
non,Adverb,259
si,Conjunction,206
ego,Pronoun,389
Iuppiter,Noun,86
auctor,Noun,17
spondeo,Verb,3
hic,Pronoun,694
spero,Verb,19
Italia,Noun,44
contingo,Verb,14
caelum,Noun,142
muto,Verb,21
transversus,Adjective,1
fremo,Verb,35
et,Conjunction,2083
vesper,Noun,1
a,Preposition,197
ater,Adjective,71
consurgo,Verb,14
ventus,Noun,87
atque,Conjunction,293
in,Preposition,769
nubes,Noun,43
cogo,Verb,25
aer,Noun,9
nec,Conjunction,331
nos,Pronoun,79
obnitor,Verb,8
contra,Preposition,75
nec,Conjunction,331
tendo,Verb,71
tantum,Adverb,36
sufficio,Verb,8
supero,Verb,31
quoniam,Conjunction,7
fortuna,Noun,66
sequor,Verb,122
quo,Adverb,52
que,Conjunction,3212
voco,Verb,110
verto,Verb,73
iter,Noun,35
nec,Conjunction,331
litus,Noun,127
longus,Adjective,125
fidus,Adjective,23
reor,Verb,16
fraternus,Adjective,4
Eryx,Noun,10
portus,Noun,37
que,Conjunction,3212
Sicanus,Adjective,7
si,Conjunction,206
modo,Adverb,13
rite,Adverb,15
memor,Adjective,19
servo,Verb,56
remetior,Verb,3
astrum,Noun,20
tum,Adverb,248
pius,Adjective,37
Aeneas,Noun,238
equidem,Adverb,31
sic,Adverb,162
posco,Verb,45
ventus,Noun,87
iamdudum,Adverb,10
et,Conjunction,2083
frustra,Adverb,19
cerno,Verb,47
tu,Pronoun,419
tendo,Verb,71
contra,Preposition,75
flecto,Verb,20
via,Noun,78
velum,Noun,32
an,Adverb,19
sum,Verb,531
ego,Pronoun,389
gratus,Adjective,14
ullus,Adjective,49
quo,Adverb,52
ve,Conjunction,79
magis,Adverb,24
fessus,Adjective,33
opto,Verb,25
dimitto,Verb,9
navis,Noun,46
quam,Adverb,28
qui,Pronoun,766
Dardanus,Adjective,38
tellus,Noun,51
ego,Pronoun,389
servo,Verb,56
Acestes,Noun,27
et,Conjunction,2083
pater,Noun,172
Anchises,Noun,48
gremium,Noun,12
complector,Verb,13
os,Noun,32
hic,Pronoun,694
ubi,Adverb,108
dico,Verb,149
peto,Verb,128
portus,Noun,37
et,Conjunction,2083
velum,Noun,32
secundus,Adjective,31
intendo,Verb,12
Zephyrus,Noun,8
fero,Verb,273
citus,Adjective,11
gurges,Noun,20
classis,Noun,62
et,Conjunction,2083
tandem,Adverb,42
laetus,Adjective,78
notus,Adjective,30
adverto,Verb,17
arena,Noun,25
at,Conjunction,146
procul,Adverb,50
e,Preposition,131
celsus,Adjective,23
miror,Verb,24
vertex,Noun,40
mons,Noun,65
adventus,Noun,6
socius,Adjective,9
que,Conjunction,3212
ratis,Noun,22
occurro,Verb,17
Acestes,Noun,27
horridus,Adjective,14
in,Preposition,769
iaculum,Noun,22
et,Conjunction,2083
pellis,Noun,13
Libystis,Adjective,2
ursa,Noun,2
Troius,Adjective,22
Crinisus,Noun,1
concipio,Verb,8
flumen,Noun,42
mater,Noun,84
qui,Pronoun,766
gigno,Verb,14
vetus,Adjective,28
non,Adverb,259
immemor,Adjective,8
ille,Pronoun,379
parens,Noun,67
grator,Verb,2
redux,Adjective,6
et,Conjunction,2083
gaza,Noun,3
laetus,Adjective,78
agrestis,Adjective,13
excipio,Verb,23
ac,Conjunction,112
fessus,Adjective,33
ops,Noun,26
solor,Verb,10
amicus,Adjective,30
posterus,Adjective,9
cum,Conjunction,164
primus,Number,200
stella,Noun,7
Oriens,Noun,4
fugo,Verb,5
clarus,Adjective,23
dies,Noun,61
socius,Noun,95
in,Preposition,769
coitus,Noun,4
litus,Noun,127
a,Preposition,197
omnis,Adjective,330
advoco,Verb,2
Aeneas,Noun,238
tumulus,Noun,31
que,Conjunction,3212
e,Preposition,131
agger,Noun,23
for,Verb,93
Dardanides,Noun,22
magnus,Adjective,282
genus,Noun,70
altus,Adjective,175
a,Preposition,197
sanguis,Noun,96
divus,Noun,69
annuus,Adjective,3
exigo,Verb,10
compleo,Verb,17
mensis,Noun,3
orbis,Noun,34
e,Preposition,131
qui,Pronoun,766
reliquiae,Noun,9
divinus,Adjective,11
que,Conjunction,3212
os,Noun,32
parens,Noun,67
condo,Verb,45
terra,Noun,166
maestus,Adjective,36
que,Conjunction,3212
sacro,Verb,12
ara,Noun,71
iam,Adverb,250
que,Conjunction,3212
dies,Noun,61
nisi,Conjunction,21
fallo,Verb,25
adsum,Verb,53
qui,Pronoun,766
semper,Adverb,27
acerbus,Adjective,13
semper,Adverb,27
honoratus,Adjective,1
sic,Adverb,162
deus,Noun,181
volo,Verb,46
habeo,Verb,69
hic,Pronoun,694
ego,Pronoun,389
Gaetulus,Adjective,5
ago,Verb,102
si,Conjunction,206
Syrtis,Noun,5
exsul,Noun,4
Argolicus,Adjective,11
ve,Conjunction,79
mare,Noun,61
deprehendo,Verb,4
et,Conjunction,2083
urbs,Noun,196
Mycenae,Noun,11
annuus,Adjective,3
votum,Noun,29
tamen,Adverb,38
sollemnis,Adjective,9
que,Conjunction,3212
ordo,Noun,30
pompa,Noun,2
exsequor,Verb,4
struo,Verb,13
que,Conjunction,3212
suus,Adjective,69
altaria,Noun,11
donum,Noun,58
nunc,Adverb,216
ultro,Adverb,26
ad,Preposition,322
cinis,Noun,18
ipse,Pronoun,289
et,Conjunction,2083
os,Noun,32
parens,Noun,67
haud,Adverb,102
equidem,Adverb,31
sine,Preposition,29
mens,Noun,67
reor,Verb,16
sine,Preposition,29
numen,Noun,62
divus,Noun,69
adsum,Verb,53
et,Conjunction,2083
portus,Noun,37
defero,Verb,15
intro,Verb,8
amicus,Adjective,30
ergo,Conjunction,40
age,Interjection,22
et,Conjunction,2083
laetus,Adjective,78
cunctus,Adjective,45
celebro,Verb,11
honor,Noun,61
posco,Verb,45
ventus,Noun,87
atque,Conjunction,293
hic,Pronoun,694
ego,Pronoun,389
sacrum,Noun,27
quotannis,Adverb,2
urbs,Noun,196
volo,Verb,46
pono,Verb,56
templum,Noun,34
sui,Pronoun,303
fero,Verb,273
dico,Verb,3
bini,Number,9
bos,Noun,14
vos,Pronoun,62
Troia,Noun,87
genero,Verb,4
Acestes,Noun,27
do,Verb,317
numerus,Noun,25
caput,Noun,84
in,Preposition,769
navis,Noun,46
adhibeo,Verb,3
Penates,Noun,24
et,Conjunction,2083
patrius,Adjective,54
epulae,Noun,11
et,Conjunction,2083
qui,Pronoun,766
colo,Verb,20
hospes,Noun,14
Acestes,Noun,27
praeterea,Adverb,20
si,Conjunction,206
novem,Number,6
dies,Noun,61
mortalis,Adjective,24
almus,Adjective,18
aurora,Noun,19
effero,Verb,23
radius,Noun,12
que,Conjunction,3212
retego,Verb,5
orbis,Noun,34
primus,Number,200
citus,Adjective,11
Teucrus,Adjective,130
pono,Verb,56
certamen,Noun,33
classis,Noun,62
qui,Pronoun,766
que,Conjunction,3212
pes,Noun,65
cursus,Noun,73
valeo,Verb,21
et,Conjunction,2083
qui,Pronoun,766
vis,Noun,110
audax,Adjective,13
aut,Conjunction,216
iaculum,Noun,22
incedo,Verb,10
bonus,Adjective,43
levis,Adjective,26
que,Conjunction,3212
sagitta,Noun,28
sive,Conjunction,44
crudus,Adjective,6
fido,Verb,9
pugna,Noun,70
committo,Verb,12
caestus,Noun,8
cunctus,Adjective,45
adsum,Verb,53
mereo,Verb,13
que,Conjunction,3212
exspecto,Verb,16
praemium,Noun,18
palma,Noun,28
os,Noun,142
faveo,Verb,4
omnis,Adjective,330
et,Conjunction,2083
cingo,Verb,35
tempus,Noun,31
ramus,Noun,30
sic,Adverb,162
for,Verb,93
velo,Verb,15
maternus,Adjective,7
tempus,Noun,31
myrtus,Noun,3
hic,Pronoun,694
Helymus,Noun,4
facio,Verb,55
hic,Pronoun,694
aevum,Noun,20
maturus,Adjective,5
Acestes,Noun,27
hic,Pronoun,694
puer,Noun,52
Ascanius,Noun,41
sequor,Verb,122
qui,Pronoun,766
ceterus,Adjective,16
pubes,Noun,20
ille,Pronoun,379
e,Preposition,131
concilium,Noun,9
multus,Adjective,161
cum,Preposition,139
mille,Number,30
eo,Verb,138
ad,Preposition,322
tumulus,Noun,31
magnus,Adjective,282
medius,Adjective,164
comitor,Verb,21
caterva,Noun,15
hic,Adverb,133
duo,Number,22
rite,Adverb,15
merus,Adjective,1
libo,Verb,13
carchesium,Noun,1
Bacchus,Noun,12
fundo,Verb,49
humus,Noun,22
duo,Number,22
lac,Noun,4
novus,Adjective,49
duo,Number,22
sanguis,Noun,96
sacer,Adjective,47
purpureus,Adjective,15
que,Conjunction,3212
iacio,Verb,17
flos,Noun,10
ac,Conjunction,112
talis,Pronoun,148
for,Verb,93
salveo,Verb,6
sanctus,Adjective,16
parens,Noun,67
iterum,Adverb,26
salveo,Verb,6
recipio,Verb,19
nequiquam,Adverb,36
cinis,Noun,18
anima,Noun,50
que,Conjunction,3212
umbra,Noun,69
que,Conjunction,3212
paternus,Adjective,9
non,Adverb,259
licet,Verb,25
finis,Noun,43
Italus,Adjective,43
fatalis,Adjective,12
que,Conjunction,3212
arvum,Noun,53
nec,Conjunction,331
tu,Pronoun,419
cum,Preposition,139
Ausonius,Adjective,26
quicumque,Pronoun,27
sum,Verb,531
quaero,Verb,53
Thybris,Noun,18
dico,Verb,149
hic,Pronoun,694
adytum,Noun,9
cum,Conjunction,164
lubricus,Adjective,5
anguis,Noun,12
a,Preposition,197
inferus,Adjective,46
septem,Number,14
ingens,Adjective,168
gyrus,Noun,4
septeni,Number,4
volumen,Noun,4
traho,Verb,41
amplector,Verb,12
placide,Adverb,1
tumulus,Noun,31
labor,Verb,41
que,Conjunction,3212
per,Preposition,351
ara,Noun,71
caerulus,Adjective,19
qui,Pronoun,766
tergum,Noun,52
nota,Noun,2
maculosus,Adjective,2
et,Conjunction,2083
aurum,Noun,77
squama,Noun,6
incendo,Verb,29
fulgor,Noun,4
ceu,Conjunction,19
nubes,Noun,43
arcus,Noun,23
mille,Number,30
iacio,Verb,17
varius,Adjective,41
adversus,Adjective,50
sol,Noun,37
color,Noun,10
obstipesco,Verb,16
visus,Noun,12
Aeneas,Noun,238
ille,Pronoun,379
agmen,Noun,98
longus,Adjective,125
tandem,Adverb,42
inter,Preposition,116
patera,Noun,12
et,Conjunction,2083
levis,Adjective,10
poculum,Noun,7
serpens,Noun,9
libo,Verb,13
que,Conjunction,3212
daps,Noun,16
rursus,Adverb,29
que,Conjunction,3212
innoxius,Adjective,2
inferus,Adjective,46
succedo,Verb,25
tumulus,Noun,31
et,Conjunction,2083
depasco,Verb,1
altaria,Noun,11
linquo,Verb,41
hic,Pronoun,694
magis,Adverb,24
incipio,Verb,24
genitor,Noun,57
instauro,Verb,10
honor,Noun,61
incertus,Adjective,16
genius,Noun,2
ne,Adverb,63
locus,Noun,85
famulus,Noun,8
ne,Adverb,63
parens,Noun,67
sum,Verb,531
puto,Verb,14
caedo,Verb,21
bini,Number,9
de,Preposition,113
mos,Noun,44
bidens,Noun,5
tot,Pronoun,46
que,Conjunction,3212
sus,Noun,8
