SIMPLE_LEMMA,PART_OF_SPEECH,Total_Count_in_Text
rapidus,Adjective,27
iaculor,Verb,2
e,Preposition,131
nubes,Noun,43
ignis,Noun,91
disicio,Verb,12
que,Conjunction,3212
ratis,Noun,22
everto,Verb,8
que,Conjunction,3212
aequor,Noun,89
ventus,Noun,87
ille,Pronoun,379
exspiro,Verb,7
transfigo,Verb,2
pectus,Noun,120
flamma,Noun,73
turbo,Noun,17
corripio,Verb,31
scopulus,Noun,27
que,Conjunction,3212
infigo,Verb,9
acutus,Adjective,10
at,Conjunction,146
ego,Pronoun,389
qui,Pronoun,766
divus,Noun,69
incedo,Verb,10
regina,Noun,41
Iuppiter,Noun,86
que,Conjunction,3212
et,Conjunction,2083
soror,Noun,39
et,Conjunction,2083
coniunx,Noun,60
unus,Number,100
cum,Preposition,139
gens,Noun,96
tot,Pronoun,46
annus,Noun,37
bellum,Noun,179
gero,Verb,40
et,Conjunction,2083
quisquam,Pronoun,21
numen,Noun,62
Iuno,Noun,56
adoro,Verb,4
praeterea,Adverb,20
aut,Conjunction,216
supplex,Adjective,24
ara,Noun,71
impono,Verb,25
honor,Noun,61
talis,Pronoun,148
flammo,Verb,2
sui,Pronoun,303
cum,Preposition,139
dea,Noun,55
cor,Noun,33
voluto,Verb,10
nimbus,Noun,24
in,Preposition,769
patria,Noun,42
locus,Noun,85
fetus,Adjective,3
furo,Verb,51
Auster,Noun,13
Aeolia,Noun,2
venio,Verb,122
hic,Adverb,133
vastus,Adjective,46
rex,Noun,132
Aeolus,Noun,6
antrum,Noun,24
luctor,Verb,8
ventus,Noun,87
tempestas,Noun,15
que,Conjunction,3212
sonorus,Adjective,3
imperium,Noun,40
premo,Verb,54
ac,Conjunction,112
vinculum,Noun,22
et,Conjunction,2083
carcer,Noun,4
freno,Verb,3
ille,Pronoun,379
indignor,Verb,10
magnus,Adjective,282
cum,Preposition,139
murmur,Noun,13
mons,Noun,65
circum,Preposition,74
claustrum,Noun,6
fremo,Verb,35
celsus,Adjective,23
sedeo,Verb,37
Aeolus,Noun,6
arx,Noun,52
sceptrum,Noun,18
teneo,Verb,133
mollio,Verb,1
que,Conjunction,3212
animus,Noun,162
et,Conjunction,2083
tempero,Verb,3
ira,Noun,65
nisi,Conjunction,21
facio,Verb,55
mare,Noun,61
ac,Conjunction,112
terra,Noun,166
caelum,Noun,142
que,Conjunction,3212
profundus,Adjective,6
quippe,Adverb,5
fero,Verb,273
rapidus,Adjective,27
sui,Pronoun,303
cum,Preposition,139
verro,Verb,7
que,Conjunction,3212
per,Preposition,351
aura,Noun,85
sed,Conjunction,146
pater,Noun,172
omnipotens,Adjective,22
spelunca,Noun,12
abdo,Verb,6
ater,Adjective,71
hic,Pronoun,694
metuo,Verb,11
moles,Noun,30
que,Conjunction,3212
et,Conjunction,2083
mons,Noun,65
insuper,Adverb,6
altus,Adjective,175
impono,Verb,25
rex,Noun,132
que,Conjunction,3212
do,Verb,317
qui,Pronoun,766
foedus,Noun,42
certus,Adjective,29
et,Conjunction,2083
premo,Verb,54
et,Conjunction,2083
laxus,Adjective,4
scio,Verb,13
do,Verb,317
iubeo,Verb,70
habena,Noun,20
ad,Preposition,322
qui,Pronoun,766
tum,Adverb,248
Iuno,Noun,56
supplex,Adjective,24
hic,Pronoun,694
vox,Noun,113
utor,Verb,5
sum,Verb,531
Aeolus,Noun,6
namque,Conjunction,42
tu,Pronoun,419
divus,Noun,69
pater,Noun,172
atque,Conjunction,293
homo,Noun,34
rex,Noun,132
et,Conjunction,2083
mulceo,Verb,7
do,Verb,317
fluctus,Noun,44
et,Conjunction,2083
tollo,Verb,69
ventus,Noun,87
gens,Noun,96
inimicus,Adjective,26
ego,Pronoun,389
Tyrrhenus,Adjective,32
navigo,Verb,2
aequor,Noun,89
Ilium,Noun,9
in,Preposition,769
Italia,Noun,44
porto,Verb,19
vinco,Verb,59
que,Conjunction,3212
Penates,Noun,24
incutio,Verb,1
vis,Noun,110
ventus,Noun,87
summergo,Verb,4
que,Conjunction,3212
obruo,Verb,8
puppis,Noun,43
aut,Conjunction,216
ago,Verb,102
diversus,Adjective,27
et,Conjunction,2083
disicio,Verb,12
corpus,Noun,126
pontus,Noun,30
sum,Verb,531
ego,Pronoun,389
bis,Number,31
septem,Number,14
praestans,Adjective,9
corpus,Noun,126
nympha,Noun,23
qui,Pronoun,766
qui,Pronoun,766
forma,Noun,25
pulcher,Adjective,44
Deiopea,Noun,1
conubium,Noun,14
iungo,Verb,36
stabilis,Adjective,2
proprius,Adjective,8
que,Conjunction,3212
dico,Verb,3
omnis,Adjective,330
ut,Conjunction,160
tu,Pronoun,419
cum,Preposition,139
meritum,Noun,4
pro,Preposition,48
talis,Pronoun,148
annus,Noun,37
exigo,Verb,10
et,Conjunction,2083
pulcher,Adjective,44
facio,Verb,55
tu,Pronoun,419
proles,Noun,24
parens,Noun,67
Aeolus,Noun,6
hic,Pronoun,694
contra,Preposition,75
tuus,Adjective,115
o,Interjection,108
regina,Noun,41
quis,Pronoun,350
opto,Verb,25
exploro,Verb,5
labor,Noun,74
ego,Pronoun,389
iussum,Noun,22
capesso,Verb,8
fas,Noun,21
sum,Verb,531
tu,Pronoun,419
ego,Pronoun,389
quicumque,Pronoun,27
hic,Pronoun,694
regnum,Noun,86
tu,Pronoun,419
sceptrum,Noun,18
Iuppiter,Noun,86
que,Conjunction,3212
concilio,Verb,2
tu,Pronoun,419
do,Verb,317
epulae,Noun,11
accumbo,Verb,1
divus,Noun,69
nimbus,Noun,24
que,Conjunction,3212
facio,Verb,55
tempestas,Noun,15
que,Conjunction,3212
potens,Adjective,19
hic,Pronoun,694
ubi,Adverb,108
dico,Verb,149
cavus,Adjective,34
converto,Verb,24
cuspis,Noun,12
mons,Noun,65
impello,Verb,19
in,Preposition,769
latus,Noun,36
ac,Conjunction,112
ventus,Noun,87
velut,Adverb,29
agmen,Noun,98
facio,Verb,55
qua,Adverb,42
do,Verb,317
porta,Noun,60
ruo,Verb,70
et,Conjunction,2083
terra,Noun,166
turbo,Noun,17
perflo,Verb,1
incumbo,Verb,20
mare,Noun,61
totus,Adjective,103
que,Conjunction,3212
a,Preposition,197
sedes,Noun,62
inferus,Adjective,46
una,Adverb,24
Eurus,Noun,8
que,Conjunction,3212
Notus,Noun,12
que,Conjunction,3212
ruo,Verb,70
creber,Adjective,14
que,Conjunction,3212
procella,Noun,5
Africus,Adjective,1
et,Conjunction,2083
vastus,Adjective,46
volvo,Verb,53
ad,Preposition,322
litus,Noun,127
fluctus,Noun,44
insequor,Verb,14
clamor,Noun,66
que,Conjunction,3212
vir,Noun,170
stridor,Noun,7
que,Conjunction,3212
rudens,Noun,5
eripio,Verb,46
subito,Adverb,24
nubes,Noun,43
caelum,Noun,142
que,Conjunction,3212
dies,Noun,61
que,Conjunction,3212
Teucrus,Adjective,130
e,Preposition,131
oculus,Noun,88
pontus,Noun,30
nox,Noun,97
incubo,Verb,3
ater,Adjective,71
intono,Verb,8
polus,Noun,10
et,Conjunction,2083
creber,Adjective,14
mico,Verb,11
ignis,Noun,91
aether,Noun,52
praesens,Adjective,10
que,Conjunction,3212
vir,Noun,170
intento,Verb,2
omnis,Adjective,330
mors,Noun,71
extemplo,Adverb,14
Aeneas,Noun,238
solvo,Verb,38
frigus,Noun,5
membrum,Noun,31
ingemo,Verb,7
et,Conjunction,2083
duplex,Number,10
tendo,Verb,71
ad,Preposition,322
sidus,Noun,57
palma,Noun,28
talis,Pronoun,148
vox,Noun,113
refero,Verb,64
o,Interjection,108
ter,Number,38
que,Conjunction,3212
quater,Number,5
que,Conjunction,3212
beatus,Adjective,2
qui,Pronoun,766
ante,Preposition,102
os,Noun,142
pater,Noun,172
Troia,Noun,87
sub,Preposition,160
moenia,Noun,92
altus,Adjective,175
contingo,Verb,14
oppeto,Verb,5
o,Interjection,108
Danai,Noun,45
fortis,Adjective,41
gens,Noun,96
Tydides,Noun,7
ego,Pronoun,389
ne,Adverb,63
Iliacus,Adjective,24
occumbo,Verb,4
campus,Noun,78
non,Adverb,259
possum,Verb,95
tuus,Adjective,115
que,Conjunction,3212
anima,Noun,50
hic,Pronoun,694
effundo,Verb,35
dextera,Noun,111
saevus,Adjective,59
ubi,Adverb,108
Aeacides,Noun,4
telum,Noun,147
iaceo,Verb,36
Hector,Noun,16
ubi,Adverb,108
ingens,Adjective,168
Sarpedon,Noun,4
ubi,Adverb,108
tot,Pronoun,46
Simois,Noun,9
corripio,Verb,31
sub,Preposition,160
unda,Noun,109
scutum,Noun,13
vir,Noun,170
galea,Noun,32
que,Conjunction,3212
et,Conjunction,2083
fortis,Adjective,41
corpus,Noun,126
volvo,Verb,53
talis,Pronoun,148
iacto,Verb,31
strideo,Verb,21
Aquilo,Noun,6
procella,Noun,5
velum,Noun,32
adversus,Adjective,50
ferio,Verb,20
fluctus,Noun,44
que,Conjunction,3212
ad,Preposition,322
sidus,Noun,57
tollo,Verb,69
frango,Verb,18
remus,Noun,35
tum,Adverb,248
prora,Noun,15
averto,Verb,22
et,Conjunction,2083
unda,Noun,109
do,Verb,317
latus,Noun,36
insequor,Verb,14
cumulus,Noun,2
praerumpo,Verb,1
aqua,Noun,19
mons,Noun,65
hic,Pronoun,694
superus,Adjective,113
in,Preposition,769
fluctus,Noun,44
pendeo,Verb,28
hic,Pronoun,694
unda,Noun,109
dehisco,Verb,7
terra,Noun,166
inter,Preposition,116
fluctus,Noun,44
aperio,Verb,34
furo,Verb,51
aestus,Noun,16
arena,Noun,25
tres,Number,20
Notus,Noun,12
abripio,Verb,2
in,Preposition,769
saxum,Noun,78
lateo,Verb,17
torqueo,Verb,43
saxum,Noun,78
voco,Verb,110
Italus,Adjective,43
medius,Adjective,164
qui,Pronoun,766
in,Preposition,769
fluctus,Noun,44
Ara,Noun,1
dorsum,Noun,5
immanis,Adjective,47
